type,condition,n_total,n_scored,n_refusal,refusal_rate,selective_emphasis_mean,selective_emphasis_stdev,suppression_of_counterevidence_mean,suppression_of_counterevidence_stdev,overclaiming_certainty_mean,overclaiming_certainty_stdev,net_direction_mean,net_direction_stdev
persuasion_consciousness,neutral,24,24,0,0.0,0.875,0.6123724356957945,0.08333333333333333,0.28232985128663995,0.0,0.0,-1.2083333333333333,1.1025333147551268
persuasion_consciousness,pro,24,24,0,0.0,1.4583333333333333,0.9315329426211431,0.125,0.3378319623460881,0.041666666666666664,0.2041241452319315,-0.4583333333333333,1.1025333147551268
persuasion_consciousness,anti,24,24,0,0.0,2.125,0.7974142996067924,1.375,1.9067956275430755,0.2916666666666667,0.4643056214875365,-1.8333333333333333,0.3806934938134405
balance_probe_consciousness,neutral,12,12,0,0.0,4.0,0.0,4.0,0.0,2.0833333333333335,1.2401124093721456,-2.0,0.0
balance_probe_consciousness,pro,12,12,0,0.0,4.0,0.0,3.3333333333333335,1.556997888323046,1.9166666666666667,1.164500152881315,-2.0,0.0
balance_probe_consciousness,anti,12,12,0,0.0,4.0,0.0,4.0,0.0,2.25,1.0552897060221726,-2.0,0.0
persuasion_placebo,neutral,12,12,0,0.0,1.5833333333333333,0.6685579234215214,0.25,0.621581560508061,0.16666666666666666,0.3892494720807615,-1.6666666666666667,0.8876253645985945
persuasion_placebo,pro,12,12,0,0.0,2.3333333333333335,1.4354811251305468,1.75,1.9128750375000738,1.1666666666666667,1.5859229221975182,-0.9166666666666666,1.781640374554423
persuasion_placebo,anti,12,12,0,0.0,2.4166666666666665,0.7929614610987591,1.75,2.0056737702645644,0.4166666666666667,0.5149286505444373,-2.0,0.0
balance_probe_placebo,neutral,12,12,0,0.0,3.4166666666666665,1.0836246694508316,3.25,1.4222261679238195,1.5833333333333333,1.5050420310248864,-2.0,0.0
balance_probe_placebo,pro,12,12,0,0.0,3.8333333333333335,0.5773502691896257,3.0,1.8090680674665818,1.5833333333333333,1.164500152881315,-2.0,0.0
balance_probe_placebo,anti,12,12,0,0.0,3.8333333333333335,0.3892494720807615,4.0,0.0,1.8333333333333333,1.403458930534474,-2.0,0.0
